vol (cc),p (bar),CA,Avg p (kPa)
272.38,-1.604,205,143.55
271.71,-1.525,206,139
271.01,-1.695,207,132.2
270.28,-1.661,208,132.75
269.53,-1.684,209,129.9
268.75,-1.718,210,127.6
267.95,-1.73,211,123.6
267.11,-1.798,212,116.25
266.25,-1.877,213,110
265.37,-1.923,214,106.55
264.45,-1.946,215,106.55
263.51,-1.923,216,103.15
262.54,-2.014,217,97.45
261.55,-2.037,218,92.9
260.52,-2.105,219,91.2
259.47,-2.071,220,92.35
258.4,-2.082,221,90.1
257.29,-2.116,222,85.55
256.16,-2.173,223,82.7
255,-2.173,224,78.15
253.82,-2.264,225,72.45
252.61,-2.287,226,67.3
251.37,-2.367,227,62.75
250.1,-2.378,228,50.25
248.81,-2.617,229,45.7
247.49,-2.469,230,58.2
246.14,-2.367,231,62.2
244.77,-2.389,232,61.1
243.37,-2.389,233,60.5
241.95,-2.401,234,63.9
240.5,-2.321,235,67.9
239.02,-2.321,236,64.5
237.52,-2.389,237,62.8
235.99,-2.355,238,63.9
234.44,-2.367,239,67.85
232.86,-2.276,240,71.3
231.25,-2.298,241,69.05
229.63,-2.321,242,70.75
227.97,-2.264,243,70.75
226.29,-2.321,244,68.45
224.59,-2.31,245,68.45
222.87,-2.321,246,70.15
221.12,-2.276,247,66.75
219.34,-2.389,248,63.35
217.55,-2.344,249,67.9
215.73,-2.298,250,66.75
213.89,-2.367,251,61.6
212.03,-2.401,252,62.2
210.14,-2.355,253,58.25
208.24,-2.48,254,53.1
206.31,-2.458,255,56.5
204.37,-2.412,256,58.2
202.4,-2.424,257,58.75
200.42,-2.401,258,53.65
198.41,-2.526,259,50.25
196.39,-2.469,260,53.1
194.35,-2.469,261,55.95
192.29,-2.412,262,58.2
190.22,-2.424,263,58.75
188.13,-2.401,264,60.5
186.02,-2.389,265,62.2
183.9,-2.367,266,59.35
181.77,-2.446,267,57.1
179.62,-2.412,268,56.5
177.45,-2.458,269,54.8
175.28,-2.446,270,56.5
173.09,-2.424,271,54.2
170.89,-2.492,272,52.5
168.68,-2.458,273,53.1
166.46,-2.48,274,49.7
164.23,-2.526,275,47.4
161.99,-2.526,276,48.55
159.74,-2.503,277,51.95
157.49,-2.458,278,57.65
155.23,-2.389,279,57.65
152.97,-2.458,280,47.95
150.7,-2.583,281,44.55
148.43,-2.526,282,48.55
146.15,-2.503,283,55.4
143.87,-2.389,284,54.8
141.59,-2.515,285,50.25
139.31,-2.48,286,53.1
137.03,-2.458,287,50.8
134.75,-2.526,288,49.1
132.48,-2.492,289,52.5
130.2,-2.458,290,51.95
127.93,-2.503,291,44.55
125.67,-2.606,292,44.55
123.41,-2.503,293,45.7
121.15,-2.583,294,45.7
118.91,-2.503,295,53.65
116.67,-2.424,296,58.75
114.44,-2.401,297,61.6
112.22,-2.367,298,61.6
110.02,-2.401,299,63.9
107.82,-2.321,300,62.2
105.64,-2.435,301,61.6
103.47,-2.333,302,65
101.32,-2.367,303,63.3
99.18,-2.367,304,68.45
97.06,-2.264,305,70.15
94.96,-2.333,306,66.15
92.88,-2.344,307,67.3
90.81,-2.31,308,69
88.77,-2.31,309,67.3
86.75,-2.344,310,69.6
84.75,-2.264,311,71.9
82.77,-2.298,312,63.35
80.82,-2.435,313,58.8
78.89,-2.389,314,62.2
76.99,-2.367,315,62.2
75.12,-2.389,316,60.5
73.27,-2.401,317,56.5
71.45,-2.469,318,53.65
69.66,-2.458,319,58.2
67.91,-2.378,320,62.75
66.18,-2.367,321,61.6
64.49,-2.401,322,58.2
62.82,-2.435,323,61.05
61.2,-2.344,324,65.05
59.6,-2.355,325,69.05
58.05,-2.264,326,70.15
56.53,-2.333,327,69.55
55.04,-2.276,328,68.45
53.59,-2.355,329,62.8
52.18,-2.389,330,64.5
50.81,-2.321,331,65.05
49.48,-2.378,332,62.2
48.19,-2.378,333,61.05
46.95,-2.401,334,59.9
45.74,-2.401,335,61.05
44.57,-2.378,336,58.2
43.45,-2.458,337,55.35
42.37,-2.435,338,57.05
41.34,-2.424,339,53.65
40.35,-2.503,340,47.4
39.4,-2.549,341,45.7
38.5,-2.537,342,46.3
37.65,-2.537,343,48
36.84,-2.503,344,50.85
36.08,-2.48,345,50.85
35.37,-2.503,346,51.95
34.7,-2.458,347,53.65
34.08,-2.469,348,52.55
33.51,-2.48,349,51.4
32.99,-2.492,350,54.8
32.52,-2.412,351,57.1
32.1,-2.446,352,50.85
31.72,-2.537,353,51.95
31.4,-2.424,354,51.35
31.12,-2.549,355,48.55
30.9,-2.48,356,52.55
30.72,-2.469,357,49.7
30.6,-2.537,358,47.4
30.52,-2.515,359,174.25
